County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
경상남도,진주시,칠암동,510번지 8호,진주미르치과병원,치과병원,35.1831908,128.0892829
경상남도,창원시,마산합포구,우산동 102번지 6호,시립마산요양병원,요양병원(일반요양병원),35.1540404,128.5518772
경상북도,포항시,남구,이동 산 12번지,에스포항병원,종합병원,36.035154,129.3318742
전라남도,담양군,창평면,장화리,창평한마음요양병원,요양병원(일반요양병원),35.2463,127.002
전라북도,정읍시,하모동,70번지 115호,한서요양병원,요양병원(일반요양병원),35.574369,126.8312234
전라남도,담양군,가사문학면,구산리 200,무등산생태요양병원,요양병원(일반요양병원),35.1310472,127.0813195
경상남도,양산시,상북면,대석리 467번지 4호,현대요양병원,요양병원(일반요양병원),35.3956095,129.0628607
전라남도,화순군,화순읍,신기리 370번지,화순무지개요양병원,의사,35.0722376,126.9890382
경상북도,칠곡군,동명면,기성리,의료법인효천의료재단팔공요양병원,요양병원(일반요양병원),36.0074,128.5917
경상북도,칠곡군,동명면,기성리 296번지 1호 1호,의료법인효천의료재단 팔공요양병원,,36.0032823,128.5989526
전라북도,전주시,덕진구,만성동 135,우리노인전문병원,요양병원(노인병원),35.8368406,127.0784051
경상남도,김해시,부원동,605번지 14호,의료법인 신의료재단 김해삼승병원,병원,35.2270109,128.8811918
경상북도,경주시,현곡면,상구리 729번지 1호,에스요양병원,요양병원(일반요양병원),35.867227,129.1538625
전라남도,목포시,석현동,351번지,목포미래병원,병원,34.8232708,126.4271597
전라남도,목포시,연산동,774번지 1호,의료법인해민의료재단 세안종합병원,종합병원,34.8168761,126.380152
경상남도,김해시,강동,359번지,한사랑병원,정신병원,35.2199712,128.8764027
경상남도,창원시,의창구,북면 동전리 292,행복한요양병원,요양병원(일반요양병원),35.3238959,128.6010289
경상남도,양산시,덕계동,532번지,신세계요양병원,요양병원(일반요양병원),35.3647584,129.150492
경상남도,창원시,마산합포구,신포동2가 85번지 7호,의료법인위더스의료재단위더스병원,병원,35.2022885,128.5726698
