시도,구분,주소,연간_임대료(원),면적(㎡),지목
충청북도,임대-수탁,충청북도 보은군 산외면 신정리 4-1,"150,000",542,답
충청북도,임대-수탁,충청북도 보은군 산외면 아시리 65,"1,740,000","2,883",전
충청북도,임대-수탁,충청북도 보은군 삼승면 내망리 635,"1,500,000","1,631",전
충청북도,임대-수탁,충청북도 보은군 삼승면 천남리 470,"1,070,000","2,952",답
충청북도,임대-수탁,충청북도 보은군 삼승면 탄금리 139,"1,500,000","3,476",답
충청북도,임대-수탁,충청북도 보은군 속리산면 상판리 113,"1,190,000","1,577",답
충청북도,임대-수탁,충청북도 보은군 속리산면 상판리 114,"430,000",566,답
충청북도,임대-수탁,충청북도 보은군 속리산면 상판리 112,"1,130,000","1,497",답
충청북도,임대-수탁,충청북도 보은군 속리산면 상판리 111,"690,000",910,답
충청북도,임대-수탁,충청북도 보은군 속리산면 상판리 115,"1,400,000","1,848",답
충청북도,임대-수탁,충청북도 보은군 속리산면 하판리 111,"1,720,000","2,276",답
충청북도,임대-수탁,충청북도 보은군 속리산면 하판리 109,"790,000","1,047",답
충청북도,임대-수탁,충청북도 보은군 속리산면 하판리 26,"1,520,000","2,011",답
충청북도,임대-수탁,충청북도 보은군 수한면 거현리 386,"100,000","2,592",답
충청북도,임대-수탁,충청북도 보은군 수한면 동정리 83-4,"740,000","3,709",전
충청북도,임대-수탁,충청북도 보은군 수한면 동정리 83-2,"350,000","1,755",전
충청북도,임대-수탁,충청북도 보은군 수한면 동정리 83-1,"300,000","1,507",전
충청북도,임대-수탁,충청북도 보은군 수한면 동정리 89-2,"110,000",555,전
충청북도,임대-수탁,충청북도 보은군 장안면 개안리 73-6,"920,000","1,220",전
충청북도,임대-수탁,충청북도 보은군 장안면 구인리 258-7,"600,000","3,146",전
충청북도,임대-수탁,충청북도 보은군 회남면 금곡리 224,"860,000","1,898",전
충청북도,임대-수탁,충청북도 보은군 회인면 송평리 279,"2,220,000","2,937",답
충청북도,임대-공공임대용,충청북도 영동군 매곡면 강진리 952,"440,000","2,337",전
충청북도,임대-공공임대용,충청북도 영동군 매곡면 강진리 953-2,"654,540","3,073",전
충청북도,임대-공공임대용,충청북도 영동군 매곡면 강진리 817,"228,940","1,065",답
충청북도,임대-공공임대용,충청북도 영동군 매곡면 강진리 810,"236,970","1,179",답
충청북도,임대-공공임대용,충청북도 영동군 매곡면 강진리 810-1,"257,070","1,279",답
충청북도,임대-수탁,충청북도 영동군 매곡면 공수리 103,"800,000","1,817",답
충청북도,임대-수탁,충청북도 영동군 매곡면 공수리 314,"100,000",548,답
충청북도,임대-수탁,충청북도 영동군 매곡면 공수리 315-2,"100,000",274,답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-6,"200,000",714,답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-16,"40,000",158,답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-4,"580,000","2,093",답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-1,"40,000",138,답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-5,"440,000","1,587",답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-2,"170,000",609,답
충청북도,임대-수탁,충청북도 영동군 매곡면 수원리 839-3,"350,000","1,247",답
충청북도,임대-수탁,충청북도 영동군 매곡면 옥전리 732,"100,000",948,전
충청북도,임대-수탁,충청북도 영동군 매곡면 옥전리 740-1,"200,000","1,088",전
충청북도,임대-수탁,충청북도 영동군 매곡면 옥전리 740-1,"200,000","1,088",전
충청북도,임대-수탁,충청북도 영동군 매곡면 옥전리 740-2,"800,000","5,060",전
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-5,"830,000","2,987",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-4,"890,000","3,169",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-8,"310,000","1,110",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-1,"400,000","1,447",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-7,"350,000","1,260",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-10,"240,000",840,답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736,"210,000",751,답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-6,"360,000","1,261",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-7,"350,000","1,260",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-10,"240,000",840,답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736,"210,000",751,답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-6,"360,000","1,261",답
충청북도,임대-수탁,충청북도 영동군 매곡면 유전리 736-9,"220,000",770,답
충청북도,임대-수탁,충청북도 영동군 상촌면 돈대리 325,"1,700,000","6,640",답
